"kind","items__kind","items__family","items__category","items__variants-","items__subsets001","items__subsets002","items__subsets003","items__subsets004","items__subsets005","items__subsets006","items__subsets007","items__subsets008","items__variants001","items__variants002","items__variants003","items__variants004","items__variants005","items__variants006","items__variants007","items__variants008","items__variants009","items__variants010","items__variants011","items__variants012","items__variants013","items__variants014","items__variants015","items__variants016","items__variants017","items__variants018","items__subsets-","items__version","items__lastModified","items__files__100","items__files__100italic","items__files__200","items__files__200italic","items__files__300","items__files__300italic","items__files__regular","items__files__500","items__files__500italic","items__files__600","items__files__600italic","items__files__700","items__files__700italic","items__files__800","items__files__800italic","items__files__900","items__files__900italic","items__files__italic"
"webfonts#webfontList","webfonts#webfont","ABeeZee","sans-serif","","","","","","","","","","regular","italic","","","","","","","","","","","","","","","","","latin","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/abeezee/v4/mE5BOuZKGln_Ex0uYKpIaw.ttf","","","","","","","","","","","http://fonts.gstatic.com/s/abeezee/v4/kpplLynmYgP0YtlJA3atRw.ttf"
"","webfonts#webfont","Abel","sans-serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/abel/v6/RpUKfqNxoyNe_ka23bzQ2A.ttf","","","","","","","","","","",""
"","webfonts#webfont","Abril Fatface","display","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v8","2015-04-06","","","","","","","http://fonts.gstatic.com/s/abrilfatface/v8/X1g_KwGeBV3ajZIXQ9VnDojjx0o0jr6fNXxPgYh_a8Q.ttf","","","","","","","","","","",""
"","webfonts#webfont","Aclonica","sans-serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/aclonica/v6/M6pHZMPwK3DiBSlo3jwAKQ.ttf","","","","","","","","","","",""
"","webfonts#webfont","Acme","sans-serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/acme/v5/-J6XNtAHPZBEbsifCdBt-g.ttf","","","","","","","","","","",""
"","webfonts#webfont","Actor","sans-serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/actor/v6/ugMf40CrRK6Jf6Yz_xNSmQ.ttf","","","","","","","","","","",""
"","webfonts#webfont","Adamina","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v7","2015-04-06","","","","","","","http://fonts.gstatic.com/s/adamina/v7/RUQfOodOMiVVYqFZcSlT9w.ttf","","","","","","","","","","",""
"","webfonts#webfont","Advent Pro","sans-serif","","latin-ext","latin","greek","","","","","","100","200","300","regular","500","600","700","","","","","","","","","","","","","v4","2015-04-06","http://fonts.gstatic.com/s/adventpro/v4/87-JOpSUecTG50PBYK4ysi3USBnSvpkopQaUR-2r7iU.ttf","","http://fonts.gstatic.com/s/adventpro/v4/URTSSjIp0Wr-GrjxFdFWnGeudeTO44zf-ht3k-KNzwg.ttf","","http://fonts.gstatic.com/s/adventpro/v4/sJaBfJYSFgoB80OL1_66m0eOrDcLawS7-ssYqLr2Xp4.ttf","","http://fonts.gstatic.com/s/adventpro/v4/1NxMBeKVcNNH2H46AUR3wfesZW2xOQ-xsNqO47m55DA.ttf","http://fonts.gstatic.com/s/adventpro/v4/7kBth2-rT8tP40RmMMXMLJp-63r6doWhTEbsfBIRJ7A.ttf","","http://fonts.gstatic.com/s/adventpro/v4/3Jo-2maCzv2QLzQBzaKHV_pTEJqju4Hz1txDWij77d4.ttf","","http://fonts.gstatic.com/s/adventpro/v4/M4I6QiICt-ey_wZTpR2gKwJKKGfqHaYFsRG-T3ceEVo.ttf","","","","","",""
"","webfonts#webfont","Aguafina Script","handwriting","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/aguafinascript/v5/65g7cgMtMGnNlNyq_Z6CvMxLhO8OSNnfAp53LK1_iRs.ttf","","","","","","","","","","",""
"","webfonts#webfont","Akronim","display","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/akronim/v5/qA0L2CSArk3tuOWE1AR1DA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Aladin","handwriting","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/aladin/v5/PyuJ5cVHkduO0j5fAMKvAA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Aldrich","sans-serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/aldrich/v6/kMMW1S56gFx7RP_mW1g-Eg.ttf","","","","","","","","","","",""
"","webfonts#webfont","Alef","sans-serif","","latin","hebrew","","","","","","","regular","700","","","","","","","","","","","","","","","","","","v5","2015-04-08","","","","","","","http://fonts.gstatic.com/s/alef/v5/ENvZ_P0HBDQxNZYCQO0lUA.ttf","","","","","http://fonts.gstatic.com/s/alef/v5/VDgZJhEwudtOzOFQpZ8MEA.ttf","","","","","",""
